TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7
1918.2307,-374795.91,-381336.31,-372353.79,-376980.4,-373252.58,-371778.1,-351372.19
1918.2347,-371202.37,-371277.19,-373409.36,-376571.6,-369865.94,-371364.02,-369743.96
1918.2387,-368175.17,-361150.74,-380183.5,-378674.55,-371568.53,-372973.15,-387091.49
1918.2427,-369470.35,-363933.7,-383541.01,-380421.49,-375888.96,-374469.23,-381341.84
1918.2467,-373021.22,-375016.54,-379048.15,-379424.05,-376757.91,-373806.43,-362416.5
1918.2507,-375011.68,-381123.35,-371902.94,-377002.0,-372726.44,-371586.41,-351991.55
1918.2547,-371624.51,-371135.66,-372990.03,-376567.27,-369433.3,-370931.57,-370182.37
1918.2586,-368733.07,-361466.26,-380539.41,-378825.33,-372136.11,-372680.99,-386617.42
1918.2626,-370037.98,-364406.96,-384214.54,-380657.0,-376827.81,-374324.56,-380682.42
1918.2666,-373360.06,-374709.51,-378463.84,-379397.1,-376036.02,-373401.64,-363530.39
1918.2706,-375029.7,-380347.39,-370325.9,-376733.87,-370761.25,-371087.88,-354201.07
1918.2746,-371448.75,-371158.74,-372558.78,-376500.84,-368960.0,-371078.01,-370723.72
1918.2786,-368412.97,-362107.94,-381290.91,-378965.8,-373162.6,-373357.53,-385692.07
1918.2826,-369624.8,-364708.75,-384527.25,-380709.5,-377310.08,-374867.39,-380462.98
1918.2866,-373034.95,-374565.5,-378127.0,-379324.58,-375662.56,-373596.19,-364262.82
1918.2906,-374972.63,-380265.47,-369868.85,-376649.04,-370285.17,-371043.92,-354889.58
1918.2946,-371657.27,-371361.68,-372279.88,-376443.76,-368812.32,-370865.63,-370808.5
1918.2986,-368830.53,-362356.37,-381248.95,-378974.44,-373274.37,-373024.84,-385706.47
1918.3026,-370178.84,-364772.94,-384457.49,-380726.57,-377291.1,-374385.07,-380790.76
1918.3066,-373526.9,-374368.62,-377883.43,-379285.57,-375344.85,-373022.08,-364991.14
1918.3106,-375293.63,-380148.79,-369557.42,-376597.69,-369957.54,-370612.0,-355444.66
1918.3146,-371773.81,-371485.99,-372100.16,-376422.07,-368709.47,-370745.51,-370938.01
1918.3186,-368611.19,-362446.07,-381233.12,-378963.28,-373294.49,-373210.76,-385857.39
1918.3225,-369716.31,-364739.08,-384477.38,-380745.93,-377267.88,-374784.61,-381227.11
1918.3265,-373034.66,-374304.24,-377859.49,-379339.02,-375250.77,-373498.82,-365628.81
1918.3305,-374998.85,-380171.54,-369432.21,-376643.08,-369795.84,-370962.95,-355941.53
1918.3345,-371767.9,-371674.53,-371930.45,-376442.57,-368607.23,-370876.5,-371029.85
1918.3385,-368862.24,-362601.37,-381129.93,-378993.17,-373270.17,-373119.49,-385975.55
1918.3425,-370133.3,-364754.34,-384395.26,-380770.59,-377214.29,-374474.95,-381500.81
1918.3465,-373511.07,-374212.17,-377735.95,-379362.2,-375106.38,-373063.61,-366075.18
1918.3505,-375463.24,-380175.83,-369280.43,-376664.11,-369638.77,-370527.84,-356211.32
1918.3545,-372111.84,-371808.53,-371843.72,-376478.57,-368536.42,-370585.87,-371071.29
1918.3585,-368921.13,-362675.04,-381109.81,-379022.6,-373233.32,-373039.86,-386081.98
1918.3625,-369909.19,-364766.5,-384448.96,-380825.61,-377193.31,-374666.45,-381756.45
1918.3665,-373064.99,-374140.4,-377799.94,-379403.92,-375041.1,-373438.21,-366436.24
1918.3705,-374936.67,-380129.72,-369294.97,-376660.39,-369544.36,-370971.96,-356416.6
1918.3745,-371644.4,-371828.7,-371769.9,-376431.41,-368458.31,-370972.11,-371087.26
1918.3785,-368658.63,-362678.14,-381038.33,-378977.92,-373194.41,-373260.64,-386109.97
1918.3825,-369912.57,-364631.36,-384371.28,-380785.22,-377123.64,-374605.75,-381904.03
1918.3864,-373330.02,-373980.28,-377740.14,-379400.44,-374999.81,-373165.94,-366656.63
1918.3904,-375418.09,-380121.37,-369201.08,-376669.07,-369516.13,-370559.93,-356496.19
1918.3944,-372169.25,-371900.89,-371683.07,-376424.69,-368420.22,-370515.58,-371100.99
1918.3984,-369031.9,-362734.69,-380967.52,-378949.88,-373151.16,-372887.32,-386130.19
1918.4024,-370053.72,-364669.37,-384403.99,-380774.83,-377134.37,-374464.03,-382000.54
1918.4064,-373068.85,-373922.25,-377800.13,-379337.5,-374994.04,-373257.06,-366875.07
1918.4104,-374848.7,-380107.54,-369184.49,-376557.35,-369486.71,-370853.52,-356615.87
1918.4144,-371466.78,-371855.88,-371671.48,-376297.95,-368406.1,-370936.1,-371281.67
1918.4184,-368421.17,-362753.43,-380973.0,-378842.73,-373174.9,-373301.17,-386168.57
1918.4224,-369647.02,-364678.95,-384412.76,-380691.19,-377168.32,-374725.48,-381979.03
1918.4264,-373064.99,-373909.23,-377852.06,-379348.47,-375051.97,-373301.79,-366924.33
1918.4304,-375264.21,-380176.3,-369190.12,-376616.71,-369522.23,-370628.88,-356499.52
