TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1591.4931,832.223,-156.587,602.558,-1557.5,-4628.75,420.0,-147.44,-250.8,-279.68
1591.5431,829.295,-155.733,605.669,-1592.5,-4585.0,262.5,-136.8,-252.32,-270.56
1591.5931,832.589,-158.356,606.401,-1505.0,-4690.0,656.25,-159.6,-258.4,-275.12
1591.6431,831.613,-152.073,604.632,-1487.5,-4646.25,787.5,-133.76,-256.88,-278.16
1591.6931,833.199,-156.343,605.669,-1627.5,-4401.25,411.25,-135.28,-267.52,-273.6
1591.7431,831.43,-158.905,604.449,-1513.75,-4803.75,411.25,-148.96,-256.88,-284.24
1591.7931,831.491,-154.757,603.412,-1408.75,-4515.0,271.25,-144.4,-264.48,-272.08
1591.8431,830.149,-157.441,606.523,-1461.25,-4777.5,796.25,-139.84,-249.28,-275.12
1591.8931,830.21,-157.502,604.327,-1408.75,-4786.25,708.75,-138.32,-249.28,-266.0
1591.9431,829.356,-155.916,605.791,-1583.75,-4681.25,700.0,-142.88,-256.88,-266.0
1591.9931,834.48,-157.197,608.231,-1688.75,-4453.75,358.75,-152.0,-258.4,-275.12
1592.0431,834.053,-158.6,605.425,-1575.0,-4707.5,411.25,-150.48,-252.32,-267.52
1592.0931,831.064,-155.306,607.194,-1487.5,-4655.0,708.75,-148.96,-258.4,-261.44
1592.1431,831.857,-157.929,605.791,-1575.0,-4978.75,542.5,-144.4,-253.84,-276.64
1592.1932,830.515,-156.526,605.303,-1662.5,-4506.25,638.75,-138.32,-253.84,-279.68
1592.2431,830.881,-154.879,607.255,-1688.75,-4585.0,525.0,-150.48,-267.52,-279.68
1592.2931,831.613,-156.526,603.778,-1408.75,-4637.5,481.25,-135.28,-256.88,-266.0
1592.3431,831.43,-156.831,607.011,-1400.0,-5040.0,630.0,-150.48,-279.68,-270.56
1592.3931,831.247,-155.001,606.34,-1688.75,-4453.75,560.0,-138.32,-256.88,-253.84
1592.4431,835.09,-154.33,605.486,-1356.25,-4926.25,481.25,-138.32,-255.36,-270.56
1592.4931,829.539,-155.916,606.401,-1540.0,-4462.5,551.25,-148.96,-250.8,-262.96
1592.5431,833.931,-160.491,605.608,-1496.25,-4620.0,612.5,-139.84,-262.96,-270.56
1592.5931,832.711,-154.391,604.632,-1522.5,-4480.0,595.0,-142.88,-250.8,-275.12
1592.6431,830.454,-159.393,605.364,-1627.5,-4672.5,551.25,-147.44,-250.8,-290.32
1592.6931,833.748,-158.051,606.279,-1592.5,-4462.5,315.0,-158.08,-259.92,-269.04
1592.7431,831.125,-155.55,605.181,-1540.0,-4410.0,700.0,-148.96,-250.8,-275.12
1592.7931,830.637,-156.648,606.401,-1312.5,-4803.75,682.5,-145.92,-258.4,-279.68
1592.8431,832.04,-158.539,604.327,-1671.25,-4602.5,875.0,-144.4,-255.36,-262.96
1592.8931,831.308,-158.966,605.181,-1610.0,-4768.75,463.75,-148.96,-259.92,-259.92
1592.9431,830.942,-155.489,607.438,-1627.5,-4646.25,358.75,-153.52,-255.36,-269.04
1592.9931,829.905,-157.624,605.852,-1443.75,-4812.5,761.25,-138.32,-235.6,-285.76
1593.0431,832.162,-157.197,606.401,-1566.25,-4550.0,770.0,-144.4,-249.28,-284.24
1593.0931,833.809,-156.465,604.205,-1443.75,-4838.75,840.0,-148.96,-249.28,-264.48
1593.1431,832.894,-155.55,605.181,-1627.5,-4383.75,262.5,-150.48,-252.32,-273.6
1593.1931,828.929,-159.637,605.303,-1522.5,-4357.5,323.75,-144.4,-262.96,-273.6
1593.2431,830.515,-157.868,604.693,-1645.0,-4567.5,778.75,-141.36,-262.96,-279.68
1593.2931,830.271,-156.221,608.475,-1356.25,-5162.5,717.5,-158.08,-259.92,-278.16
1593.3431,833.382,-158.295,606.279,-1706.25,-4567.5,822.5,-152.0,-250.8,-279.68
1593.3931,831.613,-157.624,603.717,-1575.0,-4322.5,367.5,-152.0,-253.84,-281.2
1593.4431,833.992,-156.038,606.523,-1557.5,-4716.25,402.5,-130.72,-259.92,-272.08
1593.4931,830.82,-155.855,604.388,-1583.75,-4523.75,490.0,-139.84,-259.92,-270.56
1593.5432,832.162,-159.515,607.011,-1653.75,-4620.0,831.25,-139.84,-261.44,-272.08
1593.5931,831.491,-155.733,607.56,-1382.5,-4847.5,533.75,-152.0,-273.6,-270.56
1593.6431,830.759,-155.733,604.144,-1426.25,-4777.5,376.25,-156.56,-256.88,-267.52
1593.6931,832.04,-157.746,604.571,-1592.5,-4296.25,551.25,-152.0,-252.32,-282.72
1593.7431,827.892,-157.258,604.693,-1496.25,-4558.75,507.5,-135.28,-250.8,-272.08
1593.7931,829.295,-155.672,605.852,-1557.5,-4646.25,656.25,-153.52,-249.28,-267.52
1593.8431,829.966,-157.441,604.571,-1478.75,-4725.0,542.5,-155.04,-261.44,-278.16
1593.8931,833.26,-156.038,606.706,-1601.25,-4401.25,577.5,-145.92,-250.8,-275.12
1593.9431,829.966,-158.478,604.632,-1277.5,-4532.5,542.5,-142.88,-266.0,-266.0
1593.9931,831.491,-155.428,605.547,-1636.25,-4760.0,726.25,-144.4,-261.44,-272.08
1594.0431,831.43,-157.075,603.107,-1478.75,-4646.25,551.25,-148.96,-264.48,-281.2
1594.0931,829.356,-155.306,607.56,-1653.75,-4532.5,490.0,-139.84,-252.32,-264.48
1594.1431,830.576,-157.136,603.961,-1347.5,-4558.75,245.0,-141.36,-247.76,-287.28
1594.1931,830.637,-155.306,605.425,-1417.5,-4803.75,603.75,-156.56,-258.4,-262.96
1594.2431,830.942,-160.369,605.608,-1338.75,-4768.75,551.25,-153.52,-253.84,-273.6
1594.2931,831.491,-150.365,606.767,-1321.25,-4681.25,262.5,-158.08,-262.96,-278.16
1594.3431,833.687,-158.966,601.216,-1828.75,-4383.75,700.0,-145.92,-266.0,-278.16
1594.3931,831.003,-155.672,607.133,-1286.25,-4628.75,122.5,-144.4,-244.72,-266.0
1594.4431,830.393,-154.879,606.218,-1793.75,-4777.5,857.5,-142.88,-264.48,-275.12
1594.4931,829.234,-158.112,605.242,-1303.75,-4891.25,621.25,-147.44,-244.72,-267.52
1594.5431,830.088,-155.123,602.375,-1505.0,-4760.0,350.0,-144.4,-256.88,-262.96
1594.5931,831.979,-156.526,606.218,-1505.0,-4471.25,262.5,-144.4,-258.4,-269.04
1594.6431,829.844,-155.977,605.242,-1723.75,-4515.0,472.5,-144.4,-247.76,-276.64
1594.6931,830.027,-158.6,606.096,-1470.0,-4926.25,717.5,-138.32,-255.36,-281.2
1594.7431,831.674,-153.72,606.401,-1443.75,-4541.25,735.0,-132.24,-264.48,-279.68
1594.7931,830.393,-170.678,607.255,-1417.5,-4865.0,630.0,-153.52,-259.92,-272.08
1594.8431,835.578,-158.356,604.51,-1400.0,-4873.75,385.0,-155.04,-249.28,-273.6
1594.8933,831.247,-158.478,607.987,-1583.75,-4340.0,463.75,-153.52,-258.4,-262.96
1594.9431,829.661,-153.964,608.231,-1330.0,-4891.25,673.75,-150.48,-259.92,-275.12
1594.9931,832.345,-155.245,605.181,-1627.5,-4795.0,796.25,-144.4,-261.44,-269.04
1595.0431,832.528,-157.99,604.632,-1417.5,-4795.0,533.75,-142.88,-243.2,-270.56
1595.0931,831.796,-154.94,604.266,-1557.5,-4532.5,358.75,-144.4,-253.84,-266.0
1595.1431,831.43,-157.746,603.9,-1575.0,-4497.5,700.0,-144.4,-259.92,-269.04
1595.1931,831.857,-157.929,604.876,-1592.5,-4970.0,778.75,-167.2,-266.0,-270.56
1595.2431,832.711,-157.99,606.767,-1400.0,-4838.75,516.25,-136.8,-246.24,-276.64
1595.2931,829.966,-155.062,605.791,-1688.75,-4401.25,455.0,-141.36,-256.88,-273.6
1595.3431,831.369,-157.441,606.157,-1688.75,-4418.75,525.0,-153.52,-261.44,-281.2
1595.3931,829.905,-159.21,605.425,-1356.25,-4541.25,516.25,-147.44,-244.72,-261.44
1595.4431,832.223,-155.55,603.778,-1408.75,-4830.0,577.5,-135.28,-259.92,-275.12
1595.4931,830.149,-157.197,604.022,-1688.75,-4410.0,568.75,-139.84,-255.36,-287.28
1595.5431,832.284,-158.417,607.438,-1391.25,-4681.25,358.75,-145.92,-255.36,-270.56
1595.5931,833.748,-156.709,603.778,-1347.5,-4716.25,568.75,-145.92,-261.44,-269.04
1595.6431,831.735,-156.77,605.181,-1557.5,-4480.0,717.5,-135.28,-275.12,-267.52
1595.6931,829.966,-155.367,606.34,-1408.75,-4760.0,735.0,-148.96,-256.88,-276.64
1595.7431,832.711,-157.99,603.717,-1505.0,-4532.5,385.0,-153.52,-246.24,-279.68
1595.7931,831.003,-153.598,604.144,-1618.75,-4480.0,437.5,-144.4,-262.96,-261.44
1595.8431,829.417,-156.526,608.109,-1627.5,-4392.5,682.5,-158.08,-269.04,-276.64
1595.8931,832.345,-157.868,606.706,-1443.75,-4725.0,717.5,-168.72,-259.92,-267.52
1595.9431,832.284,-156.77,605.547,-1426.25,-4698.75,778.75,-141.36,-249.28,-287.28
1595.9931,832.894,-155.611,605.12,-1548.75,-4690.0,288.75,-144.4,-267.52,-267.52
1596.0431,830.393,-157.136,604.571,-1575.0,-4497.5,341.25,-148.96,-247.76,-272.08
1596.0931,830.027,-156.77,607.438,-1513.75,-4873.75,778.75,-136.8,-264.48,-270.56
1596.1431,830.515,-155.55,604.266,-1461.25,-4795.0,700.0,-147.44,-249.28,-264.48
1596.1931,830.881,-156.465,606.889,-1487.5,-4716.25,717.5,-142.88,-269.04,-276.64
1596.2431,829.356,-156.77,607.072,-1592.5,-4611.25,315.0,-144.4,-252.32,-281.2
1596.2931,831.491,-156.038,604.571,-1505.0,-4585.0,323.75,-136.8,-238.64,-270.56
1596.3432,829.478,-156.404,607.255,-1583.75,-4392.5,420.0,-144.4,-258.4,-261.44
1596.3931,830.149,-154.818,607.316,-1461.25,-4628.75,691.25,-147.44,-250.8,-276.64
1596.4431,832.772,-157.502,606.828,-1627.5,-4611.25,691.25,-156.56,-258.4,-275.12
