TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7
1587.2322,-368010.37,-361123.46,-382647.75,-379280.9,-374396.51,-372845.36,-385446.55
1587.2362,-370421.07,-367582.27,-381224.63,-379587.12,-375940.22,-373093.65,-374404.71
1587.2402,-373855.02,-378138.21,-372387.98,-377030.13,-372278.4,-370943.69,-356173.84
1587.2442,-373081.68,-377260.06,-368587.63,-375053.16,-368452.45,-369407.08,-357765.29
1587.2481,-368914.98,-365578.03,-375263.16,-376495.93,-369641.82,-370685.86,-378352.54
1587.2521,-367863.6,-361083.69,-382640.17,-379254.96,-374368.19,-372921.8,-385486.6
1587.2561,-370236.06,-367443.7,-381260.49,-379543.83,-375925.16,-373163.6,-374519.2
1587.2601,-373696.42,-377998.83,-372416.49,-376983.07,-372292.99,-371001.43,-356265.54
1587.2641,-373001.24,-377192.21,-368530.13,-374992.94,-368442.2,-369417.14,-357747.55
1587.2681,-368876.36,-365470.17,-375186.96,-376434.18,-369613.17,-370646.23,-378372.33
1587.2721,-367863.94,-360970.97,-382566.59,-379202.65,-374340.86,-372835.35,-385486.7
1587.2761,-370286.79,-367321.25,-381285.9,-379552.46,-375969.07,-373094.56,-374607.46
1587.2801,-373787.64,-377945.8,-372490.74,-377025.98,-372380.44,-370956.99,-356351.28
1587.2841,-373101.04,-377266.83,-368562.41,-375016.83,-368495.79,-369389.91,-357676.55
1587.2881,-368881.22,-365510.7,-375211.38,-376433.85,-369618.56,-370663.31,-378408.33
1587.2921,-367828.51,-361041.78,-382605.46,-379211.33,-374354.45,-372923.23,-385461.38
1587.2961,-370207.93,-367321.01,-381378.41,-379574.63,-376005.27,-373224.64,-374672.41
1587.3001,-373757.22,-377966.88,-372610.47,-377068.37,-372449.54,-371099.37,-356401.92
1587.3041,-373151.44,-377393.62,-368564.46,-375016.3,-368519.45,-369455.95,-357480.04
1587.3081,-368965.05,-365625.76,-375165.13,-376408.62,-369599.72,-370659.59,-378220.13
1587.3121,-367916.68,-361076.68,-382592.63,-379196.16,-374325.8,-372880.69,-385409.35
1587.3161,-370314.98,-367305.89,-381473.16,-379599.14,-376028.58,-373192.5,-374743.36
1587.3201,-373836.75,-377951.62,-372690.91,-377094.98,-372486.83,-371058.94,-356454.22
1587.3241,-373266.36,-377542.11,-368553.73,-375036.09,-368544.43,-369423.24,-357270.38
